lead_name,identifier,price_meta,profile_url
Bulbasaur,4391,£63.00,https://scrapeme.live/shop/Bulbasaur/
Ivysaur,7227,£87.00,https://scrapeme.live/shop/Ivysaur/
Venusaur,7036,£105.00,https://scrapeme.live/shop/Venusaur/
Charmander,9086,£48.00,https://scrapeme.live/shop/Charmander/
Charmeleon,6565,£165.00,https://scrapeme.live/shop/Charmeleon/
Charizard,8840,£156.00,https://scrapeme.live/shop/Charizard/
Squirtle,6094,£130.00,https://scrapeme.live/shop/Squirtle/
Wartortle,9659,£123.00,https://scrapeme.live/shop/Wartortle/
Blastoise,5212,£76.00,https://scrapeme.live/shop/Blastoise/
Caterpie,7492,£73.00,https://scrapeme.live/shop/Caterpie/
Metapod,2072,£148.00,https://scrapeme.live/shop/Metapod/
Butterfree,9507,£162.00,https://scrapeme.live/shop/Butterfree/
Weedle,7525,£25.00,https://scrapeme.live/shop/Weedle/
Kakuna,1049,£148.00,https://scrapeme.live/shop/Kakuna/
Beedrill,6542,£168.00,https://scrapeme.live/shop/Beedrill/
Pidgey,9452,£159.00,https://scrapeme.live/shop/Pidgey/
Pidgeotto,1150,£84.00,https://scrapeme.live/shop/Pidgeotto/
Pidgeot,8462,£185.00,https://scrapeme.live/shop/Pidgeot/
Rattata,1009,£128.00,https://scrapeme.live/shop/Rattata/
Raticate,5745,£60.00,https://scrapeme.live/shop/Raticate/
Spearow,1591,£133.00,https://scrapeme.live/shop/Spearow/
Fearow,9127,£95.00,https://scrapeme.live/shop/Fearow/
Ekans,5690,£55.00,https://scrapeme.live/shop/Ekans/
Arbok,9230,£182.00,https://scrapeme.live/shop/Arbok/
Pikachu,1333,£37.00,https://scrapeme.live/shop/Pikachu/
Raichu,3488,£140.00,https://scrapeme.live/shop/Raichu/
Sandshrew,9134,£82.00,https://scrapeme.live/shop/Sandshrew/
Sandslash,4747,£155.00,https://scrapeme.live/shop/Sandslash/
Nidorina,9779,£28.00,https://scrapeme.live/shop/Nidorina/
Nidoqueen,6614,£106.00,https://scrapeme.live/shop/Nidoqueen/
Nidorino,9646,£179.00,https://scrapeme.live/shop/Nidorino/
Nidoking,1159,£31.00,https://scrapeme.live/shop/Nidoking/
Clefairy,3259,£160.00,https://scrapeme.live/shop/Clefairy/
Clefable,9786,£188.00,https://scrapeme.live/shop/Clefable/
Vulpix,1440,£85.00,https://scrapeme.live/shop/Vulpix/
Ninetales,5173,£52.00,https://scrapeme.live/shop/Ninetales/
Jigglypuff,9180,£61.00,https://scrapeme.live/shop/Jigglypuff/
Wigglytuff,2733,£130.00,https://scrapeme.live/shop/Wigglytuff/
Zubat,2584,£125.00,https://scrapeme.live/shop/Zubat/
Golbat,5941,£136.00,https://scrapeme.live/shop/Golbat/
Oddish,8337,£45.00,https://scrapeme.live/shop/Oddish/
Gloom,7374,£178.00,https://scrapeme.live/shop/Gloom/
Vileplume,5295,£170.00,https://scrapeme.live/shop/Vileplume/
Paras,9691,£168.00,https://scrapeme.live/shop/Paras/
Parasect,4612,£27.00,https://scrapeme.live/shop/Parasect/
Venonat,1329,£158.00,https://scrapeme.live/shop/Venonat/
Venomoth,3503,£53.00,https://scrapeme.live/shop/Venomoth/
Diglett,4383,£122.00,https://scrapeme.live/shop/Diglett/
Dugtrio,7897,£111.00,https://scrapeme.live/shop/Dugtrio/
Meowth,9594,£131.00,https://scrapeme.live/shop/Meowth/
Persian,3752,£200.00,https://scrapeme.live/shop/Persian/
Psyduck,6470,£182.00,https://scrapeme.live/shop/Psyduck/
Golduck,8764,£31.00,https://scrapeme.live/shop/Golduck/
Mankey,5180,£125.00,https://scrapeme.live/shop/Mankey/
Primeape,3052,£86.00,https://scrapeme.live/shop/Primeape/
Growlithe,1749,£30.00,https://scrapeme.live/shop/Growlithe/
Arcanine,9267,£69.00,https://scrapeme.live/shop/Arcanine/
Poliwag,6402,£174.00,https://scrapeme.live/shop/Poliwag/
Poliwhirl,4447,£121.00,https://scrapeme.live/shop/Poliwhirl/
Poliwrath,1848,£152.00,https://scrapeme.live/shop/Poliwrath/
Abra,3845,£141.00,https://scrapeme.live/shop/Abra/
Kadabra,9040,£129.00,https://scrapeme.live/shop/Kadabra/
Alakazam,7975,£40.00,https://scrapeme.live/shop/Alakazam/
Machop,9506,£166.00,https://scrapeme.live/shop/Machop/
Machoke,9503,£27.00,https://scrapeme.live/shop/Machoke/
Machamp,2857,£121.00,https://scrapeme.live/shop/Machamp/
Bellsprout,7454,£74.00,https://scrapeme.live/shop/Bellsprout/
Weepinbell,5253,£26.00,https://scrapeme.live/shop/Weepinbell/
Victreebel,2187,£68.00,https://scrapeme.live/shop/Victreebel/
Tentacool,1506,£186.00,https://scrapeme.live/shop/Tentacool/
Tentacruel,1723,£65.00,https://scrapeme.live/shop/Tentacruel/
Geodude,1650,£32.00,https://scrapeme.live/shop/Geodude/
Graveler,4748,£182.00,https://scrapeme.live/shop/Graveler/
Golem,1408,£103.00,https://scrapeme.live/shop/Golem/
Ponyta,3629,£53.00,https://scrapeme.live/shop/Ponyta/
Rapidash,3414,£98.00,https://scrapeme.live/shop/Rapidash/
Slowpoke,2145,£109.00,https://scrapeme.live/shop/Slowpoke/
Slowbro,3864,£179.00,https://scrapeme.live/shop/Slowbro/
Magnemite,1688,£100.00,https://scrapeme.live/shop/Magnemite/
Magneton,5934,£191.00,https://scrapeme.live/shop/Magneton/
